Differential gene expression between A. amarillo (positive log2FoldChange) and A. astorquii (negative log2FoldChange) ;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;
MSTRG.10410;240.169.189.367.448;359.943.381.731.537;0.560789051905206;641.851.656.177.447;1,38E+04;5,07E+05;Disintegrin and metalloproteinase domain-containing protein 8;;;;;;;;
MSTRG.33230;900.429.127.814.502;-395.267.329.596.357;0.6239472372745;-633.494.798.891.886;2,37E+04;8,25E+04;;;;;;;;;
MSTRG.53432;202.460.478.274.859;302.398.530.385.616;0.494427608980514;611.613.358.342.078;9,59E+04;2,91E+06;NACHT, LRR and PYD domains-containing protein 4A;;;;;;;;
MSTRG.40311;635.929.473.037.846;252.675.763.506.424;0.42771196161365;590.761.508.172.793;3,47E+05;9,23E+06;NACHT, LRR and PYD domains-containing protein 10; Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; NACHT, LRR and PYD domains-containing protein 4C;;;;;
MSTRG.50394;115.456.520.987.163;385.071.857.903.536;0.657041962857897;586.068.896.160.926;4,61E+05;1,17E+07;;;;;;;;;
MSTRG.55931;156.698.026.308.655;771.305.091.085.604;132.344.277.537.358;582.801.996.004.609;5,61E+05;1,40E+07;E3 ubiquitin-protein ligase TRIM41 {ECO:0000305}; Transposable element Tc3 transposase;;;;;;;
MSTRG.29186;538.738.869.293.157;304.780.020.321.847;0.531125210632751;573.838.360.937.057;9,56E+05;2,28E+07;DCC-interacting protein 13-beta {ECO:0000305}; DCC-interacting protein 13-beta {ECO:0000250|UniProtKB:Q8NEU8};;;;;;;
MSTRG.46704;345.696.585.162.791;-337.328.862.140.803;0.589726214157087;-572.009.271.493.819;1,06E+06;2,51E+07;;;;;;;;;
MSTRG.12167;91.323.818.542.167;355.166.164.824.769;0.633186483670883;560.918.740.345.976;2,03E+06;4,52E+07;Interleukin-18;;;;;;;;
MSTRG.27674;164.575.813.962.262;203.629.231.213.763;0.370642057785741;549.395.911.598.018;3,93E+06;8,10E+07;;;;;;;;;
MSTRG.37256;489.422.013.637.396;312.424.798.442.245;0.586366779428327;532.814.629.687.651;9,92E+06;1,85E+08;NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 3;;;;;;;
MSTRG.55250;642.602.578.227.371;314.770.341.984.538;0.598688259632973;525.766.685.616.165;1,46E+06;2,58E+08;E3 ubiquitin-protein ligase TRIM11; E3 ubiquitin-protein ligase TRIM21; Protein NLRC3; Ribonuclease inhibitor; E3 ubiquitin-protein ligase TRIM69; NLR family CARD domain-containing protein 3; Tripartite motif-containing protein 16-like protein;;
MSTRG.33160;374.430.247.597.764;419.532.380.403.114;0.804371499378642;521.565.446.721.065;1,83E+07;3,14E+08;;;;;;;;;
MSTRG.40106;393.912.841.508.526;471.631.650.836.008;0.923184347775065;510.874.834.449.557;3,24E+07;5,20E+08;;;;;;;;;
MSTRG.54183;753.578.677.953.049;244.254.291.805.091;0.479736808092059;50.914.227.902.692;3,55E+07;5,61E+08;;;;;;;;;
MSTRG.20454;427.353.391.486.694;217.435.176.969.263;0.429863843227007;505.823.368.015.712;4,23E+07;6,61E+08;Epidermal growth factor receptor; Tyrosine-protein kinase transforming protein erbB; Epidermal growth factor receptor {ECO:0000305};;;;;;
MSTRG.40542;214.181.013.910.433;151.200.519.256.701;0.299871279573656;504.218.074.740.841;4,60E+07;7,12E+08;Multidrug resistance-associated protein 1 {ECO:0000250|UniProtKB:P33527}; ABC transporter C family member 10; Putative uncharacterized protein YKR104W; Zinc transport system ATP-binding protein TroB;;;;;
MSTRG.16359;219.561.197.532.687;401.577.537.492.731;0.804844891068129;498.950.222.520.252;6,05E+07;9,08E+08;;;;;;;;;
MSTRG.46691;834.820.087.254.165;316.389.994.358.262;0.640290625112347;49.413.497.863.216;7,76E+07;1,12E+09;Tyrosine-protein phosphatase non-receptor type 9; Tyrosine phosphatase H3;;;;;;;
MSTRG.20344;335.464.615.356.474;485.507.364.445.896;0.99087273744247;489.979.536.321.721;9,59E+07;1,35E+09;;;;;;;;;
MSTRG.40249;685.812.344.035.665;359.576.510.846.809;0.734953220072756;489.250.881.588.372;9,96E+07;1,39E+09;;;;;;;;;
MSTRG.40253;10.268.359.122.034;169.055.309.693.965;0.351728898327892;480.640.943.913.475;1,54E+08;2,04E+09;NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305}; E3 ubiquitin-protein ligase TRIM11; Vespryn; Protein NLRC3; Ribonuclease inhibitor; E3 ubiquitin-protein ligase TRIM69; NLR family CARD domain-containing protein 3; Tripartite motif-containing protein 16-like protein
MSTRG.30560;254.779.991.761.439;261.928.687.109.982;0.557690812812201;469.666.490.988.413;2,64E+07;3,29E+09;Class I histocompatibility antigen, F10 alpha chain; H-2 class I histocompatibility antigen, D-K alpha chain; Major histocompatibility complex class I-related gene protein;;;;;;
MSTRG.9026;131.395.500.108.355;145.376.026.134.748;0.310211094145819;468.635.805.998.648;2,78E+07;3,43E+09;Dedicator of cytokinesis protein 8;;;;;;;;
MSTRG.48736;368.400.448.101.107;301.368.076.879.016;0.650413347747326;463.348.542.773.283;3,60E+08;4,24E+08;Tyrosine-protein kinase FRK; Tyrosine-protein kinase transforming protein Abl;;;;;;;
MSTRG.55760;243.641.426.171.102;380.954.093.308.026;0.833023894439376;457.314.725.124.911;4,80E+08;5,42E+09;;;;;;;;;
MSTRG.3438;150.392.329.454.484;203.290.683.855.621;0.447257298353906;454.527.370.718.857;5,49E+08;6,08E+08;Transcription factor 7; Lymphoid enhancer-binding factor 1;;;;;;;
MSTRG.10512;51.366.618.606.934;265.282.104.214.194;0.585537964939099;453.057.051.974.052;5,88E+08;6,44E+09;;;;;;;;;
MSTRG.54502;25.501.522.946.927;576.753.609.830.276;128.646.572.653.674;448.324.116.168.207;7,35E+08;7,77E+09;;;;;;;;;
MSTRG.43871;373.393.908.441.661;269.636.630.438.438;0.604724274968743;445.883.589.595.233;8,24E+07;8,56E+09;Ninjurin-1 {ECO:0000303|PubMed:31091274}; Ninjurin-1 {ECO:0000305};;;;;;;
MSTRG.15378;381.308.851.671.868;-12.308.682.186.556;0.276198574148562;-445.646.116.186.516;8,33E+08;8,64E+09;Platelet-activating factor acetylhydrolase homolog 2; Platelet-activating factor acetylhydrolase;;;;;;;
MSTRG.32896;338.586.052.748.884;205.879.292.988.547;0.462786260907066;444.869.068.898.072;8,64E+08;8,92E+09;NACHT, LRR and PYD domains-containing protein 10; NACHT, LRR and PYD domains-containing protein 1b allele 4 {ECO:0000303|PubMed:16429160}; NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; NACHT, LRR and PYD domains-containing protein 4E; NACHT, LRR and PYD domains-containing protein 3;;;;
MSTRG.39953;653.580.711.763.138;428.049.242.809.997;0.977621442750425;437.847.641.317.819;1,20E+09;0.000118195980192716;;;;;;;;;
MSTRG.37632;556.820.041.653.002;-38.657.514.642.641;0.888778733507514;-434.950.940.939.837;1,36E+08;0.000131502157450933;Low affinity immunoglobulin gamma Fc region receptor III; Low affinity immunoglobulin gamma Fc region receptor II-c;;;;;;;
MSTRG.32679;133.013.963.809.251;254.997.916.605.082;0.588611180802689;433.219.627.696.065;1,48E+09;0.000141040057601722;;;;;;;;;
MSTRG.40163;569.878.801.909.919;302.879.348.676.741;0.702595734616738;431.086.233.169.291;1,63E+09;0.000153349994816909;NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305}; Protein NLRC3;;;;;;;
MSTRG.9637;116.705.905.726.461;559.451.000.378.398;130.516.717.567.631;428.643.173.690.376;1,82E+08;0.000168869220371906;;;;;;;;;
MSTRG.19478;229.441.596.873.804;334.408.737.727.865;0.781221744529343;428.058.665.890.481;1,86E+07;0.000172875986258945;;;;;;;;;
MSTRG.3547;111.581.962.177.206;1.121.293.497.743;0.263136320975856;426.126.463.114.106;2,03E+08;0.000186501413578054;;;;;;;;;
MSTRG.26513;30.415.858.947.268;-117.380.638.559.626;0.27894577532841;-420.800.918.821.698;2,58E+09;0.00022837887798108;Mitochondrial ubiquitin ligase activator of NFKB 1;;;;;;;;
MSTRG.29616;649.018.202.601.114;-0.879459310226686;0.209667087964039;-419.455.107.984.104;2,73E+09;0.000239888402979566;Zinc finger protein 26; Neuromedin-B; Protein KTI12 homolog; Zinc finger protein 592; Zinc finger protein 595; Cholesterol 25-hydroxylase-like protein 1, member 2 {ECO:0000312|ZFIN:ZDB-GENE-050419-90}; Zinc finger protein 501;;
MSTRG.5538;276.641.303.104.257;233.973.436.991.163;0.573615291271375;407.892.607.731.183;4,52E+09;0.00036960093061275;Carcinoembryonic antigen-related cell adhesion molecule 1 {ECO:0000303|Ref.8}; IgLON family member 5; Sialic acid-binding Ig-like lectin 11;;;;;;
MSTRG.12828;126.852.080.260.097;159.779.881.768.808;0.396042156611674;4.034.416.011.058;5,47E+09;0.000434877383497868;Serine-protein kinase ATM;;;;;;;;
MSTRG.34091;107.673.359.611.547;0.918435828086265;0.229174959079759;400.757.496.270.185;6,13E+09;0.000478859220664575;DNA ligase 4 {ECO:0000305};;;;;;;;
MSTRG.6701;139.645.565.982.143;-247.140.025.870.326;0.617146134153279;-400.456.248.841.938;6,21E+09;0.00048404189016677;Free fatty acid receptor 2;;;;;;;;
MSTRG.7548;259.491.904.207.161;57.980.089.050.399;146.050.777.117.738;396.985.830.507.828;7,19E+09;0.000549164426064863;Protein mono-ADP-ribosyltransferase PARP14 {ECO:0000305};;;;;;;;
MSTRG.17435;135.101.773.677.725;129.787.250.684.604;0.32725557473878;396.592.940.512.021;7,31E+09;0.000556777646329285;Integrin alpha-4;;;;;;;;
MSTRG.51761;286.518.219.360.799;296.583.106.771.395;0.751442364418507;394.685.102.697;7,92E+09;0.000594074647773922;;;;;;;;;
MSTRG.31041;520.812.233.329.233;-111.263.415.845.521;0.287547725810825;-386.938.952.592.239;0.000109108205723659;0.000775946317711529;Importin subunit alpha-7;;;;;;;;
MSTRG.53498;191.696.052.705.385;-359.345.813.612.456;0.930740909811069;-386.085.762.240.106;0.000112989732499135;0.000799791661745404;Nucleotide-binding oligomerization domain-containing protein 2; NACHT, LRR and PYD domains-containing protein 1b allele 4 {ECO:0000303|PubMed:16429160};;;;;;;
MSTRG.55564;312.492.208.586.634;336.957.779.745.271;0.873009454703364;385.972.658.062.179;0.000113513963028118;0.00080234384902559;;;;;;;;;
MSTRG.52546;597.258.006.967.145;-366.750.549.819.918;0.953892104252136;-384.478.022.393.796;0.000120660530561601;0.000845505208778212;Apolipoprotein D; Otospiralin;;;;;;;
MSTRG.52899;957.400.242.864.945;103.146.053.970.632;0.273990443263008;376.458.582.796.702;0.000166825361607133;0.00111733799393051;DNA-dependent protein kinase catalytic subunit;;;;;;;;
MSTRG.15341;573.470.256.788.737;-162.459.176.941.669;0.43222404836967;-375.867.972.997.933;0.00017081231680369;0.00114093347498994;NF-kappa-B inhibitor alpha;;;;;;;;
MSTRG.27331;187.400.815.691.993;0.677334026038357;0.180290636791218;37.569.007.359.086;0.000172030694254143;0.00114712399548246;Protein FAM3A;;;;;;;;
MSTRG.33123;253.896.687.406.135;243.905.281.625.673;0.65581414409901;371.912.200.766.518;0.000199916474886321;0.00130001883553349;;;;;;;;;
MSTRG.54920;115.170.749.434.328;139.651.969.795.605;0.378920930661912;368.551.743.899.859;0.000228238452312078;0.00145250035439368;NACHT, LRR and PYD domains-containing protein 12; Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 9A; NACHT, LRR and PYD domains-containing protein 14; NACHT, LRR and PYD domains-containing protein 13;;;;
MSTRG.12987;118.807.914.881.614;-105.929.899.721.928;0.287449598389767;-368.516.429.716.113;0.000228555155530802;0.00145357531989861;Caseinolytic peptidase B protein homolog;;;;;;;;
MSTRG.23754;980.857.976.000.925;0.935009439820094;0.257285171698206;363.413.652.504.177;0.000278913151391514;0.00171614031936893;NACHT, LRR and PYD domains-containing protein 1a allele 1 {ECO:0000305}; NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 1 allele 2 {ECO:0000305};;;;;;
MSTRG.28168;183.512.355.947.291;-154.628.914.509.015;0.425536687226099;-363.373.873.864.974;0.000279343729097165;0.00171785536868764;Protein kinase C zeta type;;;;;;;;
MSTRG.33415;149.529.343.150.799;-115.306.298.102.318;0.318825219794522;-361.659.903.117.551;0.000298499148341141;0.00182070596806778;Non-homologous end-joining factor 1;;;;;;;;
MSTRG.11343;35.919.103.817.474;251.555.971.550.272;0.697910961991025;360.441.353.195.864;0.00031285858367187;0.0018915186711932;SET domain-containing protein 4 {ECO:0000305};;;;;;;;
MSTRG.40434;245.047.357.086.118;453.208.829.691.161;127.116.899.504.702;35.652.917.232.645;0.000363451694449906;0.00214440860273668;;;;;;;;;
MSTRG.16361;155.959.096.930.946;589.549.812.651.464;165.578.711.849.701;356.054.112.310.409;0.000370091343866144;0.00217575218923817;Protein mono-ADP-ribosyltransferase PARP9 {ECO:0000305}; Uncharacterized protein STK_23830;;;;;;;
MSTRG.32882;879.589.982.469.973;117.902.177.083.996;0.333562621148119;353.463.396.702.479;0.000408340382308198;0.00236040660017178;;;;;;;;;
MSTRG.50064;325.039.812.238.449;111.809.046.618.277;0.317939375665761;351.667.818.382.516;0.000436983246277436;0.00250098848924162;Monocarboxylate transporter 6; Antigen peptide transporter 2; Phosphate import ATP-binding protein PstB {ECO:0000255|HAMAP-Rule:MF_01702}; Glutamine transport ATP-binding protein GlnQ;;;;;
MSTRG.39922;147.067.129.754.003;238.938.953.097.399;0.680561482144363;351.090.914.438.079;0.000446577000614659;0.00254184495922771;NACHT, LRR and PYD domains-containing protein 12; NLR family CARD domain-containing protein 3;;;;;;;
MSTRG.54863;979.691.497.064.588;533.952.929.749.705;154.783.991.269.779;344.966.508.079.675;0.000561282436266702;0.00306908303502263;;;;;;;;;
MSTRG.23133;213.108.302.714.042;117.133.839.675.557;0.339693814840221;344.821.820.587.614;0.000564297954349612;0.0030799958546091;Neuronal PAS domain-containing protein 1; Hypoxia-inducible factor 1-alpha;;;;;;;
MSTRG.54017;152.123.653.267.617;-147.632.550.391.381;0.431786748573271;-341.910.794.805.989;0.000628267966493533;0.00337023702451439;Ribonuclease inhibitor;;;;;;;;
MSTRG.6403;149.732.269.407.239;-102.255.642.972.321;0.300673683639868;-34.008.843.652.176;0.000671682341460422;0.00356136478136603;Tumor necrosis factor receptor superfamily member 1A;;;;;;;;
MSTRG.51056;128.633.832.590.535;0.630455511950746;0.1871665915438;336.841.904.717.385;0.000756005946706746;0.00392592211659673;Integrin alpha-4; Integrin alpha-2; Integrin alpha-M; Integrin alpha-1; Integrin alpha-IIb; Integrin alpha-X; Integrin alpha-D;;
MSTRG.53504;938.651.806.780.964;155.029.864.543.313;0.465370001522535;33.313.248.390.766;0.000864336764343856;0.00438770799778271;;;;;;;;;
MSTRG.54290;620.308.520.362.025;468.098.789.751.789;141.994.641.375.343;32.965.947.532.797;0.000978645969488597;0.00486380618135679;Caspase recruitment domain-containing protein 8 {ECO:0000305};;;;;;;;
MSTRG.56511;109.497.965.716.597;26.008.569.700.307;0.789850001411771;32.928.492.313.502;0.000991776422083769;0.00491788101810179;NACHT, LRR and PYD domains-containing protein 4C; NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; NACHT, LRR and PYD domains-containing protein 9A;;;;;;
MSTRG.7219;999.756.120.515.272;355.867.963.112.226;108.239.542.735.081;328.778.147.172.354;0.00100980189134304;0.00498214522312739;;;;;;;;;
MSTRG.25170;100.167.724.954.995;0.576578260586232;0.17557530730683;328.393.707.196.321;0.00102367776832812;0.00502916218301261;FACT complex subunit pob3 {ECO:0000305}; FACT complex subunit POB3; FACT complex subunit SSRP1; High mobility group protein B2;;;;;
MSTRG.37701;530.454.142.406.862;446.315.368.976.042;135.954.327.679.552;328.283.311.457.373;0.00102769485502757;0.00504260052213701;;;;;;;;;
MSTRG.2841;908.572.835.446.952;-123.167.014.681.052;0.377769640704754;-326.037.355.599.238;0.00111265565405423;0.00538559285701298;Neutrophil cytosolic factor 1 {ECO:0000312|RGD:61307}; Neutrophil cytosol factor 1;;;;;;;
MSTRG.32771;103.783.757.540.698;-104.372.957.525.647;0.320693821581916;-325.459.832.717.691;0.00113552844030853;0.00547340846589294;Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 1b allele 4 {ECO:0000303|PubMed:16429160}; NACHT, LRR and PYD domains-containing protein 3; Protein NLRC3;;;;;
MSTRG.37840;86.094.770.285.966;140.296.474.393.461;0.432031460289896;324.736.708.524.239;0.00116478053818299;0.00558702705842421;RING finger protein 39;;;;;;;;
MSTRG.29587;207.587.904.383.997;-282.079.004.240.231;0.870538670294446;-3.240.281.148.508;0.00119411897448688;0.00570410741795324;C2 calcium-dependent domain-containing protein 4A; C2 calcium-dependent domain-containing protein 4C;;;;;;;
MSTRG.50643;322.140.075.182.471;283.196.188.352.195;0.874817262443715;323.720.393.400.919;0.00120707117698057;0.00575898547717311;Cerebellar degeneration-related protein 2; E3 ubiquitin-protein ligase TRIM47 {ECO:0000305};;;;;;;
MSTRG.32101;109.345.282.892.788;-142.743.375.478.206;0.442431954184588;-322.633.512.629.722;0.00125386448832857;0.00595192286436082;;;;;;;;;
MSTRG.23098;780.811.367.994.162;0.697952759973088;0.216993852543509;321.646.328.590.411;0.00129781137924204;0.00611478985414853;;;;;;;;;
MSTRG.56685;544.803.076.437.446;139.679.607.669.578;0.434561106353948;321.426.850.280.085;0.0013077732024819;0.00615003756261681;;;;;;;;;
MSTRG.30574;898.092.352.118.766;-0.881080341867542;0.274184825034018;-321.345.406.974.374;0.00131148772059976;0.00616298971617722;ATP-binding cassette sub-family B member 10, mitochondrial {ECO:0000305}; Energy-coupling factor transporter ATP-binding protein EcfA {ECO:0000255|HAMAP-Rule:MF_01710}; Antigen peptide transporter 2; Proteasome subunit beta type-9; ABC-type oligopeptide transporter ABCB9; ATP-dependent lipid A-core flippase {ECO:0000255|HAMAP-Rule:MF_01703};;;
MSTRG.22954;8.377.522.516.722;-0.665867863894604;0.208033168525547;-32.007.773.982.101;0.00137057371120283;0.00638724365625939;;;;;;;;;
MSTRG.37957;146.467.735.302.876;17.852.577.694.652;0.559520714220359;319.069.111.132.514;0.00141932935841731;0.00657396463607884;;;;;;;;;
MSTRG.55208;110.650.255.361.033;362.235.420.723.681;11.383.160.660.169;318.220.423.604.477;0.00146158711368906;0.0067411207768763;;;;;;;;;
MSTRG.32788;82.417.549.270.442;411.656.924.095.992;129.461.461.702.527;317.976.422.235.897;0.00147394926515131;0.00678223532041904;;;;;;;;;
MSTRG.55039;467.346.810.527.781;425.834.742.738.921;1.343.150.463.669;3.170.417.270.867;0.00152220171523845;0.00695868694874636;;;;;;;;;
MSTRG.40386;106.334.294.287.654;306.425.935.345.835;0.96977091725714;315.977.649.868.607;0.00157890206499753;0.00717373619439834;NACHT, LRR and PYD domains-containing protein 4E;;;;;;;;
MSTRG.42962;392.530.709.250.197;0.692609964691257;0.219837373511997;31.505.560.388.869;0.00162959991292055;0.00734552243058205;DCC-interacting protein 13-alpha {ECO:0000305};;;;;;;;
MSTRG.32677;16.752.059.012.884;276.585.268.632.657;0.901246221171118;306.892.014.785.094;0.00214834005836817;0.00923513926751756;;;;;;;;;
MSTRG.32671;129.005.460.089.688;-0.68983717842495;0.225346513397689;-306.122.854.098.716;0.00220430771521733;0.0094344945748564;Membrane glycoprotein UL144; Tumor necrosis factor receptor superfamily member 14; Tumor necrosis factor receptor superfamily member 5; Tumor necrosis factor receptor superfamily member 26;;;;;
