Differential gene expression between Managua (positive log2FoldChange) and Nicaragua (negative log2FoldChange) ;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;
MSTRG.42050;485.239.612.665.122;-0.960200765299721;0.217015354158059;-442.457.525.194.451;9,66E+08;0.000333284835539514;Interleukin-2 receptor subunit beta;;;;;;;
MSTRG.16501;396.153.327.443.248;-110.766.369.900.789;0.25206961334873;-439.427.697.885.771;1,11E+09;0.000367458935620449;Rab-like protein 3;;;;;;;
MSTRG.29020;658.454.385.276.543;0.751208356461041;0.173680463251095;432.523.233.989.189;1,52E+09;0.000459837614834945;Tyrosine-protein phosphatase non-receptor type 9; Paired amphipathic helix protein Sin3a; Tyrosine phosphatase H2;;;;;
MSTRG.31944;529.301.628.430.548;-0.865201187849755;0.201174993847727;-430.073.922.857.749;1,70E+09;0.000495023907429451;TGF-beta receptor type-2;;;;;;;
MSTRG.43721;26.439.598.671.965;0.844446644987915;0.197205141831909;428.207.214.651.479;1,85E+09;0.000525922878674961;Ras association domain-containing protein 1; Tumor suppressor candidate 2; Hyaluronidase-2;;;;;
MSTRG.5248;354.116.270.370.141;0.932236563874131;0.217830325422693;427.964.546.288.564;1,87E+08;0.000529516644695433;Tyrosine-protein phosphatase non-receptor type 2;;;;;;;
MSTRG.46755;270.009.753.414.018;-0.679958772931138;0.159588956883353;-426.068.812.159.811;2,04E+08;0.000563575664299248;Suppressor of hairless protein homolog; Suppressor of hairless homolog; Stromal interaction molecule 2; Recombining binding protein suppressor of hairless;;;;
MSTRG.32063;128.713.681.599.051;1.427.965.200.954;0.335830610565411;425.204.003.455.744;2,12E+08;0.000581781400387389;PR domain zinc finger protein 1;;;;;;;
MSTRG.22996;650.027.638.430.413;-0.660555103496259;0.155641020061778;-42.440.938.978.302;2,19E+09;0.000599609330101873;CAAX prenyl protease 1 homolog; Zinc finger protein Rlf;;;;;;
MSTRG.14104;846.078.823.364.258;-143.688.002.572.421;0.338829728904347;-42.407.141.497.606;2,23E+08;0.000607112686448572;Kinetochore-associated protein NSL1 homolog; Basic leucine zipper transcriptional factor ATF-like 3;;;;;;
MSTRG.31379;599.142.043.000.939;-0.68218473630158;0.163357601178834;-417.602.077.515.062;2,97E+09;0.000758340800393012;Inactive phospholipase C-like protein 2;;;;;;;
MSTRG.23135;117.650.526.096.758;-0.66056451296895;0.162124815778947;-407.441.951.310.904;4,61E+09;0.00107495161524194;Protein kinase C eta type; Atypical protein kinase C {ECO:0000312|EMBL:AAF58177.2}; RAC-beta serine/threonine-protein kinase B;;;;;
MSTRG.13583;564.830.144.384.066;-0.446076383828315;0.109542540265616;-407.217.490.800.087;4,66E+09;0.0010808216559904;Suppressor of cytokine signaling 5; Protein Smaug homolog 2;;;;;;
MSTRG.17379;935.079.034.185.471;-0.878953138920709;0.216570077624063;-40.585.160.635.462;4,94E+09;0.00113053131513829;G-protein coupled receptor 183;;;;;;;
MSTRG.32291;3.139.711.588.332;-167.597.675.255.667;0.416694193391326;-402.207.849.098.277;5,77E+09;0.0012647851929934;C-type lectin domain family 4 member E; Hepatic lectin; Asialoglycoprotein receptor 1;;;;;
MSTRG.42061;540.988.067.071.117;-0.481281821722137;0.12014871696107;-400.571.752.986.826;6,18E+09;0.00132895026544767;E3 ubiquitin-protein ligase RNF216;;;;;;;
MSTRG.3219;122.409.700.075.197;278.156.260.334.113;0.69558178617002;399.890.086.061.171;6,36E+09;0.00135518136342635;Interleukin-12 subunit beta;;;;;;;
MSTRG.46327;101.824.866.603.807;-0.592331354324147;0.148313227128223;-399.378.643.289.889;6,50E+08;0.0013697328061;ELMO domain-containing protein 2;;;;;;;
MSTRG.12962;782.935.057.226.655;186.054.401.533.456;0.46605857912686;399.208.189.412.629;6,55E+09;0.00137362438976735;Frizzled-9 {ECO:0000303|PubMed:12138115}; Frizzled-9;;;;;;
MSTRG.5037;55.442.255.717.278;115.254.423.666.496;0.28932043598235;398.362.539.705.031;6,79E+08;0.00139665296339499;PR domain zinc finger protein 1; Tissue-resident T-cell transcription regulator protein ZNF683 {ECO:0000305};;;;;;
MSTRG.22801;528.073.820.818.106;-0.417543527836635;0.106847597866509;-390.784.197.468.152;9,31E+09;0.00178398136213427;Wilms tumor protein homolog; Transcription factor Sp3;;;;;;
MSTRG.3253;19.076.134.900.777;-102.111.484.047.073;0.261978671583581;-389.770.218.429.769;9,71E+09;0.0018363292160521;Cytokine receptor common subunit gamma;;;;;;;
MSTRG.5854;134.629.559.562.747;-118.751.040.341.613;0.305924331530525;-388.171.283.230.421;0.000103723317984089;0.00193148632403915;Chemerin-like receptor 1; C5a anaphylatoxin chemotactic receptor 1;;;;;;
MSTRG.4824;288.063.143.831.566;-0.700537490256166;0.181050532175919;-386.929.263.248.717;0.000109151571714243;0.00200558768451577;;;;;;;;
MSTRG.35169;277.057.133.794.639;-0.86422034484044;0.227121993932745;-380.509.315.665.991;0.000141750830965159;0.00245879072959865;Interleukin-12 receptor subunit beta-1;;;;;;;
MSTRG.41162;571.601.693.077.664;-0.690596023384011;0.18184504811462;-379.771.696.036.901;0.000146034938730025;0.00251837494422884;Angiopoietin-related protein 2; Vascular cell adhesion protein 1;;;;;;
MSTRG.40967;107.540.811.938.989;-0.491205951248511;0.131550292876004;-373.397.839.343.095;0.000188478670661286;0.00306451263816779;Signal transducer and activator of transcription 5B;;;;;;;
MSTRG.10053;159.066.683.297.446;0.715858076465294;0.191783330568553;37.326.397.155.743;0.000189483531534076;0.00307603328009541;NAD-dependent protein deacetylase sirtuin-1; NAD-dependent protein deacetylase sirtuin-1 {ECO:0000250|UniProtKB:Q923E4};;;;;;
MSTRG.46113;280.429.402.448.712;-103.983.822.979.337;0.280673292212405;-37.047.993.473.011;0.000211558134793803;0.00333782792760163;Suppressor of cytokine signaling 1 {ECO:0000305};;;;;;;
MSTRG.1277;924.875.825.646.984;-0.771857102456504;0.209788839586574;-367.920.955.174.538;0.000233957973470446;0.0036332605857643;CKLF-like MARVEL transmembrane domain-containing protein 3; Chemokine-like factor;;;;;;
MSTRG.25028;334.465.405.312.271;-0.637266167654419;0.173492917391202;-367.315.379.346.279;0.000239575193050521;0.003701115872997;T-cell surface antigen CD2;;;;;;;
MSTRG.15119;161.651.115.332.518;108.145.092.293.506;0.2944937294266;367.223.752.112.047;0.000240436052547361;0.0037047245574756;Delta-like protein 4;;;;;;;
MSTRG.47737;126.509.151.446.064;-0.86430730307377;0.237764262062514;-363.514.388.401.451;0.0002778255314575;0.00412672318712678;Zinc finger protein Aiolos; Zinc finger protein 32;;;;;;
MSTRG.18761;270.502.207.251.229;-0.785849094986243;0.216215560378965;-363.456.308.884;0.000278452115128944;0.00412672318712678;Microfibril-associated glycoprotein 4; Fibroleukin; Fibrinogen-like protein 1;;;;;
MSTRG.26865;121.128.052.769.264;-161.999.099.288.358;0.44771505895501;-361.835.270.107.895;0.000296484166197093;0.00432904412289047;Interferon regulatory factor 4;;;;;;;
MSTRG.34961;408.661.310.190.777;0.849918493254848;0.234962689242882;361.724.874.699.695;0.000297751128129412;0.00433994647152573;Leptin receptor;;;;;;;
MSTRG.11959;186.422.078.585.544;126.149.348.755.533;0.35174315048785;358.640.526.704.131;0.000335267782128999;0.00471623642299756;mRNA decay activator protein ZFP36L1 {ECO:0000305};;;;;;;
MSTRG.52798;127.104.626.748.089;-119.915.281.032.498;0.334967355596311;-35.799.094.756.271;0.000343713257673217;0.00479927260865434;Cell adhesion molecule 3; Cell adhesion molecule 4; Sialic acid-binding Ig-like lectin 6; Sialic acid-binding Ig-like lectin 12; Myelin-associated glycoprotein; Junctional adhesion molecule A; B-cell receptor CD22 {ECO:0000250|UniProtKB:P20273}; Sialic acid-binding Ig-like lectin 7
MSTRG.15247;238.803.712.103.119;143.216.862.980.864;0.40659431076923;35.223.528.511.728;0.000427734422259707;0.00555541565656813;Runt-related transcription factor 3; Runt-related transcription factor 2;;;;;;
MSTRG.45199;196.271.345.978.347;124.381.731.837.181;0.353381298127575;351.975.988.814.997;0.000431937635904696;0.0055912226523;DDB1- and CUL4-associated factor 1 {ECO:0000250|UniProtKB:Q9Y4B6}; DDB1- and CUL4-associated factor 1 {ECO:0000312|HGNC:HGNC:30911};;;;;;
MSTRG.5947;736.554.542.006.438;-172.563.568.604.806;0.490562420569985;-351.766.791.276.642;0.000435356816821076;0.00560751463254095;;;;;;;;
MSTRG.47686;162.800.211.336.172;0.628054489217603;0.180279020936988;348.379.132.498.796;0.000494364770701102;0.00615431372768607;Anaphase-promoting complex subunit 11; SEC14-like protein 1 {ECO:0000305};;;;;;
MSTRG.19616;245.882.236.659.826;0.926557040985623;0.266680678107236;347.440.634.830.335;0.00051198505058953;0.00631630754925158;ATP-dependent RNA helicase A {ECO:0000305}; ATP-dependent RNA helicase A {ECO:0000250|UniProtKB:Q08211}; ATP-dependent RNA helicase A protein {ECO:0000250|UniProtKB:Q08211};;;;;
MSTRG.17376;612.052.082.443.948;-105.084.556.087.823;0.302606720944751;-34.726.444.858.774;0.000515357527261901;0.00635413796825347;N-arachidonyl glycine receptor; G-protein coupled receptor 183;;;;;;
MSTRG.30298;194.741.080.447.235;0.826903825230073;0.238603070028203;346.560.429.894.021;0.000529041282954179;0.00646907194227186;Interleukin-34;;;;;;;
MSTRG.3254;228.251.497.057.268;-0.758963255083947;0.220562987058121;-344.102.727.845.244;0.000579510106163128;0.00694709488121537;Sodium/hydrogen exchanger 8; Four and a half LIM domains protein 1; Sodium/hydrogen exchanger 6; Leupaxin; Sodium/hydrogen exchanger 1; Sodium/hydrogen exchanger 7;;
MSTRG.2236;303.765.760.884.468;-0.992917422213435;0.289237487444949;-34.328.794.340.755;0.000597207600159532;0.0071099893360736;FAS-associated death domain protein {ECO:0000303|PubMed:7538907}; FAS-associated death domain protein {ECO:0000303|PubMed:15670133};;;;;;
MSTRG.22589;326.151.628.492.253;125.609.202.647.774;0.366007635352196;343.187.383.309.379;0.00059942635256355;0.00713231481849684;SAM domain-containing protein SAMSN-1; SAM and SH3 domain-containing protein 3; SAM and SH3 domain-containing protein 1;;;;;
MSTRG.24946;613.630.608.743.962;-0.607716997177967;0.177215787258058;-342.924.863.851.449;0.000605254777747475;0.00717323050613239;Copper-transporting ATPase 1;;;;;;;
MSTRG.6405;127.642.883.168.966;-205.385.063.009.476;0.601978902315766;-341.183.158.112.977;0.000645279682574833;0.00753196317930912;Lymphocyte activation gene 3 protein; Lymphocyte activation gene 3 protein {ECO:0000303|PubMed:8921170};;;;;;
MSTRG.56157;217.864.538.203.015;-102.907.028.251.972;0.302904800882067;-339.733.896.433.149;0.000680446238185176;0.00785331030763692;Class II histocompatibility antigen, B-L beta chain; Major histocompatibility complex class I-related gene protein; H-2 class I histocompatibility antigen, alpha chain; H-2 class I histocompatibility antigen, Q9 alpha chain;;;;
MSTRG.17693;865.120.142.802.774;-0.867972639198393;0.255629445438761;-339.543.293.891.128;0.000685201572002696;0.00789941157106717;;;;;;;;
MSTRG.3383;576.680.674.533.987;-115.793.705.570.544;0.345879966687221;-334.780.029.845.604;0.000814556846963095;0.00894840596293979;T-cell surface antigen CD2;;;;;;;
MSTRG.17474;188.744.276.051.797;156.699.220.812.089;0.468086352634215;334.765.625.894.121;0.000814980285889281;0.00894840596293979;CD209 antigen-like protein A; Perlucin-like protein {ECO:0000303|PubMed:21643827}; C-type lectin domain family 4 member A {ECO:0000305};;;;;
MSTRG.29426;564.890.358.983.494;0.594521323735496;0.178145111883064;333.728.676.274.735;0.000846006114454122;0.0091774425049169;CD81 antigen;;;;;;;
MSTRG.17921;630.906.739.404.678;-23.055.195.875.926;0.694202076556241;-332.110.730.499.351;0.00089661058176342;0.00959841687991543;Cytotoxic T-lymphocyte protein 4;;;;;;;
MSTRG.16371;397.868.528.792.795;0.989973281150386;0.29857542037513;33.156.556.554.675;0.0009142840885808;0.00973501565702726;Histone deacetylase 9; Histone deacetylase 4;;;;;;
MSTRG.8732;938.293.597.409.038;-0.921088622399927;0.277969940238826;-331.362.672.384.124;0.000920943638438037;0.00979587744102918;2'-5'-oligoadenylate synthase-like protein; Polyubiquitin-B; Polyubiquitin; Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03149};;;;
