Differential gene expression between papilliform (positive log2FoldChange) and molariform (negative log2FoldChange) jaw morphotypes within CL Apoyo;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;
MSTRG.19616;144.499.874.676.609;275.357.355.238.358;0.60629555042853;454.163.575.905.736;5,58E+08;0.000246887026246757;ATP-dependent RNA helicase A {ECO:0000305}; ATP-dependent RNA helicase A protein {ECO:0000250|UniProtKB:Q08211}; ATP-dependent RNA helicase A {ECO:0000250|UniProtKB:Q08211};;;;;;;
MSTRG.1222;126.911.401.436.727;-114.372.516.746.154;0.2524797103974;-45.299.686.286.131;5,90E+06;0.000256343613284194;Transcription factor PU.1;;;;;;;;;
MSTRG.19321;365.828.163.229.284;205.111.512.750.364;0.454511535855199;451.279.002.994.788;6,40E+08;0.000272553167880902;Protein kinase C theta type;;;;;;;;;
MSTRG.37574;245.294.192.760.257;34.278.692.899.367;0.760620624676938;450.667.412.731.891;6,59E+08;0.000278472165142632;Toll-like receptor 2; Leucine-rich repeat-containing protein 26; Monocyte differentiation antigen CD14; Toll-like receptor 2 type-1;;;;;;
MSTRG.26135;233.652.809.540.435;253.360.141.299.485;0.563526408161971;44.959.763.665;6,93E+08;0.000289212246062281;Ubiquitin carboxyl-terminal hydrolase 15; Ubiquitin carboxyl-terminal hydrolase 11;;;;;;;;
MSTRG.12194;120.531.502.253.433;247.156.283.193.297;0.549866462771278;449.484.192.848.663;6,96E+07;0.000289472446531166;POU domain class 2-associating factor 1; POU domain class 2-associating factor 1 {ECO:0000305};;;;;;;;
MSTRG.40033;253.561.048.622.103;31.045.780.459.953;0.692891196746903;448.061.407.125.847;7,44E+08;0.000305069231569963;High mobility group protein B2; High mobility group-T protein;;;;;;;;
MSTRG.26536;533.955.781.414.974;238.417.589.687.672;0.533450353811575;446.934.917.156.107;7,85E+08;0.000317087211132383;Trem-like transcript 4 protein;;;;;;;;;
MSTRG.27144;212.201.635.456.744;247.434.543.264.177;0.554496768413396;446.232.615.515.815;8,11E+08;0.000321664326039384;Toll-like receptor 9;;;;;;;;;
MSTRG.6402;339.437.433.223.713;206.013.448.974.471;0.461747976912027;446.159.938.484.628;8,14E+08;0.000322020502784961;Tumor necrosis factor receptor superfamily member 14;;;;;;;;;
MSTRG.14066;744.605.329.630.387;187.434.124.514.142;0.42220150659206;443.944.707.888.607;9,02E+08;0.000349044467288905;Low affinity immunoglobulin gamma Fc region receptor II;;;;;;;;;
MSTRG.55428;204.881.274.912.818;409.631.304.634.032;0.927220411466001;441.784.175.120.106;9,97E+08;0.000376568388295292;;;;;;;;;;
MSTRG.8674;112.873.101.672.039;0.934930432201136;0.211716090603475;441.596.304.530.381;1,01E+09;0.000379028523166231;Alanine/arginine aminopeptidase; Aminopeptidase N; Leucyl-cystinyl aminopeptidase;;;;;;;
MSTRG.19079;180.396.925.732.548;358.917.017.996.035;0.818016562495763;438.764.976.715.119;1,15E+09;0.000416483078090493;Inactive histone-lysine N-methyltransferase 2E {ECO:0000305};;;;;;;;;
MSTRG.32834;59.482.459.772.037;873.471.139.131.469;199.157.056.149.206;438.584.078.325.136;1,16E+09;0.000418206363596953;NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 10; Protein NLRC3; Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 3;;;;;
MSTRG.24992;118.162.031.697.265;-273.693.110.076.146;0.627105164157012;-436.438.935.157.007;1,27E+09;0.000453843877703043;C-X-C motif chemokine 6;;;;;;;;;
MSTRG.34460;412.279.083.956.876;-130.533.809.428.124;0.29973441909026;-435.498.231.482.104;1,33E+09;0.000467644539580283;Pre-B-cell leukemia transcription factor 1 {ECO:0000250|UniProtKB:P40424}; Pre-B-cell leukemia transcription factor 1;;;;;;;;
MSTRG.37701;20.186.634.379.041;647.478.072.474.335;149.440.597.596.915;433.267.855.513.246;1,47E+09;0.000504741757411887;High affinity immunoglobulin gamma Fc receptor I;;;;;;;;;
MSTRG.46993;313.239.869.421.256;-499.015.006.344.919;116.206.146.010.211;-42.942.221.515.639;1,75E+09;0.000570257140294826;N-acetylmuramoyl-L-alanine amidase;;;;;;;;;
MSTRG.42054;117.266.771.685.929;112.768.809.442.936;0.263189988986058;428.469.220.570.963;1,83E+09;0.000590823344351613;Caspase recruitment domain-containing protein 11 {ECO:0000303|PubMed:11278692}; Caspase recruitment domain-containing protein 11 {ECO:0000303|PubMed:12356734};;;;;;;;
MSTRG.39900;260.519.061.065.218;227.438.470.450.311;0.532134883439859;427.407.556.858.685;1,92E+09;0.000616243689169623;V-set domain containing T-cell activation inhibitor 1; Butyrophilin-like protein 2; Myelin-oligodendrocyte glycoprotein; V-set domain-containing T-cell activation inhibitor 1;;;;;;
MSTRG.37716;115.834.921.644.012;199.142.519.232.242;0.466029539482093;427.317.374.459.895;1,93E+09;0.000617598715112696;Myelin-oligodendrocyte glycoprotein; Selection and upkeep of intraepithelial T-cells protein 1;;;;;;;;
MSTRG.40249;56.702.978.391.364;341.237.702.051.217;0.798720306266312;427.230.532.858.695;1,93E+08;0.000618865601697046;;;;;;;;;;
MSTRG.32410;131.909.482.507.026;27.077.163.224.896;0.635313721777252;426.201.454.442.841;2,03E+09;0.000641980797392091;H-2 class I histocompatibility antigen, Q10 alpha chain;;;;;;;;;
MSTRG.47685;273.391.495.867.304;128.430.519.910.739;0.302705860678772;424.274.969.842.847;2,21E+09;0.000681172551660465;RAS protein activator like-3; Ras GTPase-activating protein nGAP;;;;;;;;
MSTRG.17380;533.549.802.073.281;321.361.392.983.143;0.757521267708072;424.227.551.993.942;2,21E+09;0.000681401313912432;B2 bradykinin receptor; G-protein coupled receptor 183 {ECO:0000305}; G-protein coupled receptor 183-B;;;;;;;
MSTRG.46686;436.441.917.052.417;238.002.588.710.818;0.563367851240148;422.463.916.226.139;2,39E+09;0.000721634481495567;Paired box protein Pax-5;;;;;;;;;
MSTRG.49949;306.777.305.306.208;212.761.537.172.674;0.505856059007142;420.596.992.730.041;2,60E+09;0.000757422328784096;B-cell antigen receptor complex-associated protein beta chain;;;;;;;;;
MSTRG.16079;446.630.758.667.038;303.236.432.107.663;0.722131596385457;419.918.521.257.727;2,68E+08;0.000770224539739808;;;;;;;;;;
MSTRG.25434;113.517.774.728.549;160.539.339.472.845;0.38299122435133;419.172.370.710.972;2,77E+09;0.00078945794568447;SAM and SH3 domain-containing protein 3;;;;;;;;;
MSTRG.47282;184.141.771.629.869;230.203.564.117.023;0.549250840085337;419.122.825.704.292;2,77E+09;0.000789884990148517;CMRF35-like molecule 3 {ECO:0000303|PubMed:14662855}; Polymeric immunoglobulin receptor; CMRF35-like molecule 6;;;;;;;
MSTRG.55885;390.510.067.596.734;287.995.612.865.576;0.687338892737298;419.000.897.386.507;2,79E+09;0.000790248539316512;;;;;;;;;;
MSTRG.24605;247.542.390.097.766;582.425.634.853.037;139.511.928.682.453;417.473.717.375.603;2,98E+09;0.000828918312558569;Probable G-protein coupled receptor 174;;;;;;;;;
MSTRG.41624;420.405.125.155.455;303.051.532.376.499;0.73068569415807;414.749.508.303.551;3,36E+09;0.000906355912624243;Interleukin-6 receptor subunit beta {ECO:0000305};;;;;;;;;
MSTRG.37330;306.469.250.488.148;611.587.660.808.254;147.621.603.777.824;414.294.144.730.142;3,43E+09;0.000917414342180364;;;;;;;;;;
MSTRG.52477;962.909.857.218.694;-312.717.231.497.515;0.758382130900171;-412.347.837.265.537;3,73E+09;0.000983347898024289;TNFAIP3-interacting protein 3;;;;;;;;;
MSTRG.35666;208.124.901.099.401;-113.221.113.350.661;0.27468314752088;-412.188.058.759.793;3,76E+09;0.000988692198140554;C4b-binding protein beta chain; Membrane cofactor protein; Beta-2-glycoprotein 1; L-selectin; P-selectin; E-selectin;;;;
MSTRG.39801;749.534.151.343.556;207.943.228.778.786;0.504862588855806;411.880.843.161.816;3,81E+09;0.000997423656472799;;;;;;;;;;
MSTRG.13535;813.328.191.086.589;209.466.867.158.243;0.509016670537518;411.512.783.927.191;3,87E+09;0.00101042126205338;Heat shock cognate 71 kDa protein;;;;;;;;;
MSTRG.5941;108.409.905.004.052;-195.090.557.198.264;0.474622347708264;-411.043.765.933.627;3,95E+09;0.00102584581902694;TBC1 domain family member 13; Heat shock 70 kDa protein II; Heat shock cognate 71 kDa protein; TBC1 domain family member 15; Heat shock 70 kDa protein;;;;;
MSTRG.47737;156.145.427.810.388;168.046.046.636.916;0.408983934085499;410.886.669.699.317;3,98E+09;0.00102584581902694;Zinc finger protein 32; Zinc finger protein Aiolos;;;;;;;;
MSTRG.36911;370.714.614.431.169;166.484.180.246.048;0.406352285532489;409.704.057.718.994;4,18E+09;0.00107169218617919;Cell surface A33 antigen;;;;;;;;;
MSTRG.27217;518.890.841.921.179;376.236.024.438.835;0.920887981175202;408.557.861.683.347;4,40E+09;0.00110799673177404;Transforming protein RhoA {ECO:0000305}; Rho-related GTP-binding protein RhoA-D {ECO:0000305};;;;;;;;
MSTRG.32232;152.066.165.234.649;150.737.382.325.604;0.369652691691165;407.781.102.948.227;4,55E+09;0.00113738038153869;CD5 antigen-like; T-cell differentiation antigen CD6;;;;;;;;
MSTRG.37270;182.488.411.588.806;110.195.521.225.835;0.271307923707627;406.164.035.756.607;4,87E+09;0.00119669299258715;Fc receptor-like B; Low affinity immunoglobulin gamma Fc region receptor II;;;;;;;;
MSTRG.22163;429.830.728.460.276;181.563.966.289.446;0.44787828606914;405.386.847.134.219;5,04E+09;0.00122160270141332;Runt-related transcription factor 3;;;;;;;;;
MSTRG.12167;815.981.398.848.676;353.591.884.348.333;0.875627945474562;403.815.211.901.097;5,39E+09;0.00127779196577007;Interleukin-18;;;;;;;;;
MSTRG.50802;318.047.345.310.297;535.110.119.726.646;132.907.512.512.641;402.618.414.572.881;5,67E+09;0.00132359849858773;Zinc finger MIZ domain-containing protein 1 {ECO:0000305};;;;;;;;;
MSTRG.5983;490.480.996.149.061;373.679.799.387.616;0.928154559689608;402.605.143.169.885;5,67E+09;0.00132359849858773;NF-kappa-B inhibitor delta;;;;;;;;;
MSTRG.52907;559.238.511.535.263;-159.011.595.022.151;0.3961081887723;-401.434.758.304.272;5,96E+09;0.00138072497872209;Serpin B9; Leukocyte elastase inhibitor; Serine protease inhibitor 77Ba {ECO:0000303|PubMed:18854145}; Leukocyte elastase inhibitor A; Ovalbumin-related protein X; 40S ribosomal protein S20; Leukocyte elastase inhibitor B;;;
MSTRG.51737;132.872.693.561.844;588.171.475.798.555;146.872.264.413.157;400.464.633.774.562;6,21E+08;0.00143010484525104;Phospholipase D1 {ECO:0000305}; Phospholipase D1;;;;;;;;
MSTRG.275;313.682.212.464.752;119.374.928.370.247;0.298450696861431;399.982.072.836.881;6,34E+09;0.00145474539785451;Adhesion G protein-coupled receptor G3 {ECO:0000303|PubMed:25713288}; Adhesion G-protein coupled receptor G5; Adhesion G-protein coupled receptor G1; Putative adhesion G protein-coupled receptor E4P;;;;;;
MSTRG.9527;257.488.233.826.965;-302.928.450.498.545;0.758814974494525;-39.921.253.623.169;6,55E+09;0.00148337697313954;Interleukin-1 beta;;;;;;;;;
MSTRG.10097;22.129.069.195.592;566.491.692.568.104;142.672.291.651.351;39.705.796.129.808;7,17E+09;0.00158031260554258;Serum response factor;;;;;;;;;
MSTRG.48545;84.259.589.277.698;-151.040.181.961.255;0.38040944973387;-397.046.345.896.299;7,17E+09;0.00158031260554258;Mothers against decapentaplegic homolog 7;;;;;;;;;
MSTRG.10074;578.343.577.187.566;214.535.045.867.029;0.541353309854891;396.293.958.052.155;7,40E+09;0.00160849107525372;V-type immunoglobulin domain-containing suppressor of T-cell activation {ECO:0000303|PubMed:21383057};;;;;;;;;
MSTRG.16361;388.141.193.450.988;379.270.235.901.045;0.95789506550261;395.941.319.211.244;7,51E+09;0.00161663606924851;Protein mono-ADP-ribosyltransferase PARP11 {ECO:0000305}; Protein mono-ADP-ribosyltransferase PARP9 {ECO:0000305}; Uncharacterized protein STK_23830;;;;;;;
MSTRG.32326;337.123.727.680.746;-122.701.154.718.992;0.310129170236553;-395.645.319.740.162;7,61E+09;0.00163030314843295;Nectin-2;;;;;;;;;
MSTRG.33123;524.332.557.447.088;355.805.031.251.578;0.900220912345409;395.241.908.260.689;7,74E+09;0.00164988438290024;NACHT, LRR and PYD domains-containing protein 12; E3 ubiquitin-protein ligase TRIM16; Tripartite motif-containing protein 16;;;;;;;
MSTRG.40100;195.927.562.343.807;22.276.391.388.982;0.564002491198404;394.969.733.939.449;7,83E+09;0.00166670736837717;Mamu class II histocompatibility antigen, DR alpha chain; H-2 class II histocompatibility antigen, E-D alpha chain; H-2 class II histocompatibility antigen, A-Q beta chain;;;;;;;
MSTRG.45369;398.031.993.739.924;-115.439.955.709.317;0.293624047967604;-393.155.657.747.944;8,44E+09;0.00176939066108648;SLAM family member 5;;;;;;;;;
MSTRG.41483;332.160.302.009.916;346.117.713.001.898;0.880880915537301;392.922.251.915.039;8,52E+09;0.0017801938206514;Ras-related C3 botulinum toxin substrate 1 {ECO:0000305}; Rac-like GTP-binding protein 3; Rho-related protein racB;;;;;;;
MSTRG.10585;108.908.155.918.732;347.232.961.231.674;0.88457192280802;392.543.502.996.799;8,66E+09;0.00179331543291317;Zinc finger MIZ domain-containing protein 1 {ECO:0000305}; Zinc finger MIZ domain-containing protein 1;;;;;;;;
MSTRG.22606;356.427.925.002.655;356.703.250.588.429;0.911863375504742;391.180.587.103.835;9,16E+09;0.00187706123591982;Syntaxin-11;;;;;;;;;
