Differential gene expression between Xiloá (positive log2FoldChange) and Apoyo (negative log2FoldChange) ;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;
MSTRG.56157;189.463.991.224.136;175.306.222.098.285;0.402497585386965;435.546.021.797.233;1,33E+09;0.000258498845752422;H-2 class I histocompatibility antigen, alpha chain; H-2 class I histocompatibility antigen, Q9 alpha chain; Major histocompatibility complex class I-related gene protein; Class II histocompatibility antigen, B-L beta chain;;;;;;
MSTRG.31438;143.057.627.903.303;-129.232.456.422.034;0.298331524339141;-433.184.044.858.508;1,48E+09;0.000281014440904808;Progranulin {ECO:0000303|PubMed:12524533};;;;;;;;;
MSTRG.20975;494.048.248.188.134;-117.018.844.884.149;0.273235559561639;-42.827.092.151.507;1,85E+09;0.000335805149145936;C-C motif chemokine 2; Lymphotactin;;;;;;;;
MSTRG.17583;273.823.647.394.221;125.702.932.522.032;0.305587689559843;411.348.155.755.521;3,90E+09;0.000602723110313321;Interleukin-1 receptor type 1;;;;;;;;;
MSTRG.51487;614.098.657.604.649;-140.131.193.628.987;0.342541238221453;-409.092.914.933.623;4,30E+09;0.000653216829413768;Tumor necrosis factor receptor superfamily member 13B;;;;;;;;;
MSTRG.55088;327.652.002.788.546;189.189.734.074.211;0.46267688590982;408.902.497.262.607;4,33E+08;0.000657213187192603;CD99 antigen-like protein 2;;;;;;;;;
MSTRG.916;282.039.369.348.931;-0.9773646824143;0.242904030180517;-402.366.597.906.161;5,73E+09;0.000817061922167353;Diphosphomevalonate decarboxylase; Transcription factor 25; Cytochrome b-245 light chain;;;;;;;
MSTRG.41584;161.061.297.714.001;-0.95876985151374;0.23878643377851;-401.517.722.905.088;5,94E+09;0.000838725463522147;Rano class II histocompatibility antigen, B alpha chain; H-2 class II histocompatibility antigen, A-K alpha chain; H-2 class II histocompatibility antigen, A-Q alpha chain;;;;;;;
MSTRG.7961;446.757.868.097.976;122.666.564.188.747;0.306756613036429;399.882.378.979.648;6,37E+09;0.000887226370668252;Zinc finger and BTB domain-containing protein 26; C4b-binding protein beta chain; Fibulin-5; Sushi domain-containing protein 1; Beta-2-glycoprotein 1; Complement decay-accelerating factor; Protein lev-9; E-selectin; Zona pellucida sperm-binding protein 3 receptor;
MSTRG.43087;920.122.152.485.544;110.226.678.802.703;0.28207059666335;390.776.919.347.811;9,32E+07;0.00119920301947185;RIPOR family member 3 {ECO:0000250|UniProtKB:Q96MK2}; Rho family-interacting cell polarization regulator 2 {ECO:0000250|UniProtKB:Q9Y4F9};;;;;;;;
MSTRG.37349;141.597.304.745.651;-177.485.332.954.481;0.465465562839497;-38.130.711.941.773;0.000137250555095544;0.00160680932795104;Low affinity immunoglobulin gamma Fc region receptor III; High affinity immunoglobulin epsilon receptor subunit alpha;;;;;;;;
MSTRG.37498;180.858.372.008.804;-0.716499368851752;0.18938144527137;-378.336.625.230.133;0.000154721482050148;0.00177203293155471;High affinity immunoglobulin epsilon receptor subunit alpha; Zinc finger protein ZFP2; Zinc finger protein 70; Zinc finger protein 836; Low affinity immunoglobulin gamma Fc region receptor III; Low affinity immunoglobulin gamma Fc region receptor II;;;;
MSTRG.37104;325.674.012.849.625;-135.440.983.526.855;0.359823314638176;-376.409.693.360.334;0.000167152040425991;0.00188736684139996;Hepatitis A virus cellular receptor 2 homolog;;;;;;;;;
MSTRG.17376;679.024.211.386.458;-124.310.873.571.314;0.33035738071417;-376.292.103.123.526;0.000167940243574314;0.00189428522389021;G-protein coupled receptor 183; N-arachidonyl glycine receptor;;;;;;;;
MSTRG.36796;114.899.686.725.066;-287.958.255.118.456;0.765403150150767;-376.217.755.390.391;0.000168440396506574;0.00189820232386423;;;;;;;;;;
MSTRG.37207;172.448.041.414.591;-0.996904923478237;0.265806281239076;-375.049.422.771.761;0.000176486368067873;0.00196299031438295;;;;;;;;;;
MSTRG.37415;124.018.839.753.063;-108.979.280.165.892;0.292344589641546;-372.776.798.433.369;0.000193183098147016;0.0021053154497203;High affinity immunoglobulin gamma Fc receptor I;;;;;;;;;
MSTRG.37308;570.201.958.508.714;-138.107.948.455.187;0.381551851985983;-361.963.774.350.284;0.000295015736962325;0.00293101460896439;Low affinity immunoglobulin gamma Fc region receptor II;;;;;;;;;
MSTRG.38730;620.186.670.477.634;205.173.422.025.817;0.567350300588888;361.634.464.303.367;0.00029879250551873;0.00295827710725459;High affinity immunoglobulin gamma Fc receptor I; Fc receptor-like protein 5;;;;;;;;
MSTRG.17586;808.564.780.868.104;18.733.000.625.499;0.525423678136012;356.531.336.614.977;0.000363421701882907;0.00344269904429578;Interleukin-1 receptor type 2; Interleukin-1 receptor-like 1;;;;;;;;
MSTRG.13421;132.384.773.444.287;-137.723.281.848.623;0.389490516765787;-353.598.549.695.731;0.000406256996036774;0.00374975728406922;High affinity immunoglobulin gamma Fc receptor I; Fc receptor-like protein 4;;;;;;;;
MSTRG.32980;417.929.010.981.947;278.945.636.847.324;0.801811191394773;347.894.416.841.564;0.000503393452509107;0.00441240813894401;;;;;;;;;;
MSTRG.5637;635.859.266.961.146;-0.962074191646945;0.27665254947258;-347.755.404.199.628;0.000506011034776982;0.00442636638160464;C-C chemokine receptor type 2; C-C chemokine receptor type 8;;;;;;;;
MSTRG.38732;655.910.084.717.936;165.977.656.346.893;0.482582896726156;343.936.052.174.427;0.000583090159835522;0.00495750679899413;High affinity immunoglobulin gamma Fc receptor I; Fc receptor-like protein 5; Fc receptor-like protein 4; B-cell receptor CD22 {ECO:0000305}; Low affinity immunoglobulin gamma Fc region receptor II;;;;;
MSTRG.13647;264.153.788.809.402;-0.810740589381355;0.236644694501955;-342.598.253.084.714;0.000612579779292082;0.0051419070198821;Ras-related protein Rab-34;;;;;;;;;
MSTRG.17578;165.215.499.603.199;197.519.172.222.246;0.577618140238324;341.954.586.365.224;0.000627257576217117;0.00523145552274772;Interleukin-1 receptor type 1; Interleukin-1 receptor type 2; Interleukin-1 receptor-like 1;;;;;;;
MSTRG.56121;17.806.228.512.931;257.420.688.944.675;0.756185595806249;340.419.984.686.711;0.000663581845526036;0.00544510393882995;HLA class II histocompatibility antigen, DP alpha 1 chain;;;;;;;;;
MSTRG.54211;468.214.999.519.096;155.742.195.814.218;0.458497183420062;339.679.722.026.845;0.000681794702831064;0.00555234471498296;;;;;;;;;;
MSTRG.17380;283.397.565.274.309;-152.308.624.486.827;0.449185683452106;-339.077.201.473.333;0.000696960525890145;0.00564034430651459;B2 bradykinin receptor; G-protein coupled receptor 183 {ECO:0000305}; G-protein coupled receptor 183-B;;;;;;;
MSTRG.41585;166.498.406.304.758;-14.831.473.714.137;0.44032855058883;-336.827.437.019.553;0.000756402808337193;0.00600808691287405;DLA class II histocompatibility antigen, DR-1 beta chain; H-2 class II histocompatibility antigen, A-S beta chain;;;;;;;;
MSTRG.52358;787.971.739.743.829;-0.954408359736005;0.284402292613742;-335.583.919.160.674;0.000791245619988345;0.00621199685027765;EMILIN-2;;;;;;;;;
MSTRG.39797;325.876.708.378.986;-109.934.609.619.381;0.329292979463536;-333.850.450.739.886;0.000842306637598719;0.00652009967698772;H-2 class II histocompatibility antigen, A-Q alpha chain; H-2 class II histocompatibility antigen, I-E beta chain; Rano class II histocompatibility antigen, B alpha chain; DLA class II histocompatibility antigen, DR-1 beta chain; H-2 class II histocompatibility antigen, I-A beta chain; HLA class II histocompatibility antigen, DP alpha 1 chain;;;;
MSTRG.2726;985.117.997.844.069;-0.877564659191896;0.263233067486106;-333.379.338.535.503;0.00085670269681401;0.00660548375768488;GTPase IMAP family member 8; Complement C1q-like protein 4; Complement C1q tumor necrosis factor-related protein 3; Sialic acid-binding Ig-like lectin 15; T-cell immunoglobulin and mucin domain-containing protein 2; Cerebellin-2; GTPase IMAP family member 4; Complement C1q subcomponent subunit B; Hepatitis A virus cellular receptor 2; Complement C1q-like protein 3
MSTRG.42171;197.604.426.312.462;334.671.481.999.577;100.442.304.698.146;333.197.732.773.405;0.00086231281016639;0.00663688814926281;Envoplakin;;;;;;;;;
MSTRG.24602;234.983.607.714.338;-103.161.769.620.036;0.310176353480801;-332.590.697.073.951;0.000881313378776868;0.00673510602988099;Cysteinyl leukotriene receptor 1; Somatostatin receptor type 2; G-protein coupled receptor 183-A;;;;;;;
MSTRG.36546;977.658.822.707.022;-0.698669446790531;0.210758138685772;-331.502.949.849.167;0.00091633454355874;0.00694131454768057;Type IV inositol polyphosphate 5-phosphatase 11 {ECO:0000303|PubMed:15181205}; Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1; Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 {ECO:0000305};;;;;;;
MSTRG.37107;278.419.511.493.402;-157.245.017.696.205;0.477329982465831;-329.426.232.318.146;0.000986803587538588;0.00736106073614077;;;;;;;;;;
MSTRG.4395;164.511.926.432.435;0.953948482613038;0.293359680070059;32.518.050.278.253;0.0011467465557877;0.00824138195502683;;;;;;;;;;
MSTRG.50568;182.312.764.981.799;133.983.772.259.875;0.412352748671096;324.925.134.345.943;0.00115709190377157;0.00829209504699479;Zinc metalloproteinase/disintegrin; Disintegrin and metalloproteinase domain-containing protein 18; Zinc metalloproteinase-disintegrin-like crotastatin; Disintegrin and metalloproteinase domain-containing protein 8;;;;;;
MSTRG.56240;399.953.490.856.785;-611.826.410.268.039;188.539.049.412.423;-324.509.120.086.676;0.00117413013175022;0.00839069692630106;Beta-2-microglobulin;;;;;;;;;
MSTRG.24992;80.596.532.363.193;-155.136.408.827.845;0.478103607534567;-324.482.824.189.167;0.00117521485502688;0.0083945483914535;C-X-C motif chemokine 6;;;;;;;;;
MSTRG.1501;114.943.520.437.165;-0.561353059069587;0.173186446122453;-324.132.212.212.887;0.00118976659290754;0.0084576460238001;Serine/threonine-protein kinase 16; Interleukin-18 receptor accessory protein; Interleukin-1 receptor type 2; Interleukin-1 receptor accessory protein;;;;;;
MSTRG.36914;126.395.735.049.429;-114.127.076.547.632;0.354879959557504;-321.593.466.956.927;0.00130020427375806;0.00905243316479151;;;;;;;;;;
