Differential gene expression between A. astorquii (positive log2FoldChange) and A. chancho (negative log2FoldChange) from CL Apoyo;;;;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;;;;
MSTRG.27082;228.498.904.285.076;-496.556.359.505.648;0.917549610855997;-541.176.579.043.396;6,24E+05;1,04E+09;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 {ECO:0000305}; 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1;;;;;;;;;;;
MSTRG.9883;905.678.057.515.643;-37.427.519.268.908;0.703868304369085;-531.740.370.131.545;1,05E+07;1,56E+09;mRNA decay activator protein ZFP36L2-B {ECO:0000305};;;;;;;;;;;;
MSTRG.53362;23.596.095.931.948;291.272.554.294.962;0.568685285321976;512.185.846.570.745;3,03E+07;3,38E+09;NACHT, LRR and PYD domains-containing protein 12; Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 14; NACHT, LRR and PYD domains-containing protein 5; NACHT, LRR and PYD domains-containing protein 9; NLR family CARD domain-containing protein 3;;;;;;;
MSTRG.41863;244.997.980.683.894;-203.037.169.853.928;0.402816128900314;-504.044.290.401.724;4,64E+07;4,55E+09;Mitogen-activated protein kinase 1 {ECO:0000305};;;;;;;;;;;;
MSTRG.20214;374.175.819.569.436;-185.769.452.962.918;0.369613658891238;-502.604.404.610.441;5,01E+07;4,79E+09;Guanine nucleotide exchange factor VAV3; GRB2-related adapter protein; Muscle-specific protein 20;;;;;;;;;;
MSTRG.20674;155.207.599.054.161;180.677.149.358.926;0.359794525117745;502.167.589.403.419;5,12E+07;4,87E+09;Pre-B-cell leukemia transcription factor 1 {ECO:0000250|UniProtKB:P40424}; Pre-B-cell leukemia transcription factor 1;;;;;;;;;;;
MSTRG.35598;99.879.885.130.994;289.859.467.296.856;0.582044395202893;498.002.333.990.031;6,36E+07;5,61E+09;Lipoprotein lipase;;;;;;;;;;;;
MSTRG.44042;167.439.556.542.865;-182.426.518.828.672;0.367633274378118;-496.218.736.286.212;6,97E+07;6,02E+09;Protein kinase C delta type; Protein kinase C delta type {ECO:0000305};;;;;;;;;;;
MSTRG.349;425.246.709.304.636;-328.353.779.089.266;0.662850088818206;-495.366.576.286.784;7,28E+07;6,11E+09;Adenylate cyclase type 7 {ECO:0000305}; Adenylyl cyclase X E {ECO:0000312|FlyBase:FBgn0040506}; Adenylate cyclase type 2; Adenylate cyclase; Adenylate cyclase type 7 {ECO:0000250|UniProtKB:P51828};;;;;;;;
MSTRG.52750;49.718.248.909.299;-29.399.809.785.914;0.596335172536555;-493.008.146.087.706;8,22E+07;6,60E+09;Interferon regulatory factor 8 {ECO:0000305};;;;;;;;;;;;
MSTRG.50394;108.860.002.867.661;-448.766.481.646.226;0.912176412148123;-49.197.334.602.131;8,67E+07;6,86E+09;;;;;;;;;;;;;
MSTRG.27674;253.949.181.419.762;-265.512.748.179.963;0.543911709742606;-488.154.131.312.251;1,05E+08;7,81E+09;NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305}; NACHT, LRR and PYD domains-containing protein 3;;;;;;;;;;;
MSTRG.30557;659.499.213.826.071;-399.366.248.109.961;0.823311557979136;-4.850.730.494.908;1,23E+08;8,67E+08;H-2 class I histocompatibility antigen, Q9 alpha chain; Major histocompatibility complex class I-related gene protein; H-2 class I histocompatibility antigen, K-K alpha chain;;;;;;;;;;
MSTRG.5562;978.771.652.132.551;-47.701.841.830.501;0.995692383277755;-479.082.120.458.425;1,66E+06;0.000105614585465861;Catenin beta-1;;;;;;;;;;;;
MSTRG.9990;171.556.651.237.976;-409.347.745.191.252;0.860910339703963;-475.482.435.641.338;1,99E+08;0.00011825902811443;Insulin-degrading enzyme; Insulin-degrading enzyme {ECO:0000303|PubMed:20364150};;;;;;;;;;;
MSTRG.32407;336.256.054.457.882;-39.950.254.554.258;0.844350742513332;-473.147.621.512.599;2,23E+08;0.000131319790208348;Major histocompatibility complex class I-related gene protein; H-2 class I histocompatibility antigen, L-D alpha chain; H-2 class I histocompatibility antigen, D-37 alpha chain; C-type lectin domain family 4 member A {ECO:0000305}; Lactose-binding lectin l-2; H-2 class I histocompatibility antigen, alpha chain;;;;;;;
MSTRG.38460;108.560.461.176.668;-285.049.494.743.062;0.606155810517174;-470.257.794.773.685;2,57E+08;0.00014574801537605;Protein mono-ADP-ribosyltransferase PARP15 {ECO:0000305}; GTPase IMAP family member 1;;;;;;;;;;;
MSTRG.30560;419.962.452.887.098;-346.619.001.354.542;0.740566302330615;-468.045.872.818.824;2,86E+08;0.000157102227198687;Major histocompatibility complex class I-related gene protein; Class I histocompatibility antigen, F10 alpha chain; H-2 class I histocompatibility antigen, D-K alpha chain;;;;;;;;;;
MSTRG.23245;627.855.276.147.353;235.484.356.801.579;0.509868759318473;461.852.883.703.532;3,86E+08;0.000195556281756632;Perlucin-like protein {ECO:0000303|PubMed:21643827}; C-type lectin domain family 4 member E; C-type lectin domain family 4 member G; C-type lectin domain family 4 member M; Asialoglycoprotein receptor 2; CD209 antigen; Asialoglycoprotein receptor 1; CD209 antigen-like protein E;;;;;
MSTRG.28368;204.018.204.316.661;-281.366.414.597.845;0.610277997737038;-461.046.302.899.949;4,02E+08;0.00020052449362549;Zinc finger protein 609; Zinc finger protein 609 {ECO:0000312|HGNC:HGNC:29003};;;;;;;;;;;
MSTRG.38403;697.102.437.951.912;-229.523.883.838.402;0.500524942102235;-458.566.326.134.295;4,53E+08;0.000217248578360785;Caspase recruitment domain-containing protein 8 {ECO:0000305}; Sterile alpha motif domain-containing protein 9-like;;;;;;;;;;;
MSTRG.46660;267.634.789.175.038;-160.103.550.146.651;0.351944598702043;-454.911.229.600.073;5,39E+08;0.000250070201953497;Rho-related GTP-binding protein RhoH;;;;;;;;;;;;
MSTRG.54565;723.468.937.124.775;-489.148.969.720.929;107.859.235.627.435;-453.506.801.596.979;5,76E+08;0.00026643004540791;;;;;;;;;;;;;
MSTRG.19321;365.828.163.229.284;-236.911.910.342.125;0.522803613097763;-453.156.604.902.467;5,85E+08;0.000267866663980636;Protein kinase C theta type;;;;;;;;;;;;
MSTRG.38648;611.798.680.204.945;254.403.875.142.342;0.561624029996512;452.978.970.903.226;5,90E+08;0.000267866663980636;Interleukin-8;;;;;;;;;;;;
MSTRG.4975;372.169.073.683.459;-192.686.130.639.353;0.4255162744913;-452.829.050.709.535;5,95E+08;0.000267900555863991;SWI/SNF complex subunit SMARCC1 {ECO:0000305}; SWI/SNF complex subunit SMARCC1;;;;;;;;;;;
MSTRG.55250;980.599.316.999.913;-404.875.507.702.223;0.897240358638451;-451.245.314.373.303;6,41E+08;0.000281197651620281;E3 ubiquitin-protein ligase TRIM69; Protein NLRC3; E3 ubiquitin-protein ligase TRIM11; NLR family CARD domain-containing protein 3; Tripartite motif-containing protein 16-like protein; E3 ubiquitin-protein ligase TRIM21;;;;;;;
MSTRG.38967;135.130.231.611.994;-155.470.412.233.194;0.345070895676894;-450.546.291.156.261;6,62E+08;0.000289105867033666;Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2; DCC-interacting protein 13-beta {ECO:0000305}; Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1;;;;;;;;;;
MSTRG.54678;141.244.039.164.671;-191.329.635.681.845;0.425649584191112;-449.500.346.735.778;6,96E+07;0.000298278500798451;Rano class II histocompatibility antigen, A beta chain;;;;;;;;;;;;
MSTRG.17435;191.062.442.746.199;-214.717.139.283.071;0.480209007836876;-447.132.677.186.282;7,77E+08;0.000317154588136403;Integrin alpha-4;;;;;;;;;;;;
MSTRG.5096;321.364.744.701.145;-540.849.794.810.433;121.197.204.482.833;-446.255.998.327.949;8,10E+08;0.000323369258668092;;;;;;;;;;;;;
MSTRG.40106;339.583.178.463.691;-527.907.560.264.916;118.388.150.083.746;-445.912.500.441.541;8,23E+08;0.000327044659859292;;;;;;;;;;;;;
MSTRG.4834;474.667.780.191.504;-185.946.885.151.251;0.418140863182827;-444.699.146.923.481;8,71E+08;0.000338872936438294;DNA-binding protein SATB1 {ECO:0000305}; DNA-binding protein SATB1;;;;;;;;;;;
MSTRG.32679;21.789.619.956.373;-425.765.360.540.252;0.963915105576651;-441.704.210.336.597;1,00E+09;0.000382318267321542;Ret finger protein-like 1; NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; Vespryn; NACHT, LRR and PYD domains-containing protein 9A; NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305}; NLR family CARD domain-containing protein 3;;;;;;;
MSTRG.55428;204.881.274.912.818;-469.796.998.426.234;106.376.215.800.092;-441.637.254.054.141;1,00E+09;0.000382636204761877;;;;;;;;;;;;;
MSTRG.10585;108.908.155.918.732;-421.977.514.678.364;0.965224454979768;-437.180.712.218.081;1,23E+09;0.000438037295226281;Zinc finger MIZ domain-containing protein 1 {ECO:0000305}; Zinc finger MIZ domain-containing protein 1;;;;;;;;;;;
MSTRG.53432;210.750.695.662.966;-410.125.636.358.213;0.939203819970631;-436.673.731.130.095;1,26E+09;0.000446440934299608;Protein NLRC3; NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 4A;;;;;;;;;;
MSTRG.50802;318.047.345.310.297;-603.400.463.675.457;140.103.466.321.554;-430.682.037.723.879;1,66E+09;0.000537700024938705;Zinc finger MIZ domain-containing protein 1 {ECO:0000305};;;;;;;;;;;;
MSTRG.6405;580.724.118.729.428;-321.654.242.691.652;0.751316561548382;-428.120.793.755.375;1,86E+09;0.000572781844020729;Lymphocyte activation gene 3 protein; Lymphocyte activation gene 3 protein {ECO:0000303|PubMed:8921170};;;;;;;;;;;
MSTRG.10410;119.289.162.671.171;-337.329.402.741.774;0.788146267632926;-428.003.552.887.321;1,87E+09;0.000574571102743859;Disintegrin and metalloproteinase domain-containing protein 8;;;;;;;;;;;;
MSTRG.32410;131.909.482.507.026;-312.234.581.649.389;0.731857281396331;-426.633.155.925.794;1,99E+09;0.000603301033373141;H-2 class I histocompatibility antigen, Q10 alpha chain;;;;;;;;;;;;
MSTRG.50568;859.431.259.946.359;-272.461.219.307.353;0.641187396638184;-424.932.275.237.936;2,14E+09;0.000636080953401194;Zinc metalloproteinase-disintegrin-like crotastatin; Disintegrin and metalloproteinase domain-containing protein 18; Disintegrin and metalloproteinase domain-containing protein 8; Zinc metalloproteinase/disintegrin;;;;;;;;;
MSTRG.8435;226.449.104.808.834;-440.336.024.451.802;104.084.045.103.331;-423.058.139.232.243;2,33E+09;0.000673676537292317;Early growth response protein 3;;;;;;;;;;;;
MSTRG.23133;298.599.416.899.787;-236.288.936.310.533;0.561304050479349;-420.964.245.864.152;2,56E+09;0.0007147281769668;Neuronal PAS domain-containing protein 1; Hypoxia-inducible factor 1-alpha;;;;;;;;;;;
MSTRG.54790;148.280.027.120.132;341.658.663.188.269;0.816869669541452;418.253.579.399.097;2,88E+09;0.000764951825241367;;;;;;;;;;;;;
MSTRG.22648;362.618.856.073.875;-272.676.099.613.023;0.653349228197899;-417.351.223.273.244;3,00E+09;0.000782350060900085;mRNA decay activator protein ZFP36L1 {ECO:0000305};;;;;;;;;;;;
MSTRG.10074;578.343.577.187.566;-257.504.823.992.509;0.618362770011081;-4.164.300.253.521;3,12E+08;0.00080960077263659;V-type immunoglobulin domain-containing suppressor of T-cell activation {ECO:0000303|PubMed:21383057};;;;;;;;;;;;
MSTRG.32950;306.401.467.182.656;-286.870.027.700.441;0.692569500559195;-414.211.176.595.007;3,44E+09;0.000864152790487138;NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; Protein NLRC3; NACHT, LRR and PYD domains-containing protein 1b allele 4 {ECO:0000303|PubMed:16429160}; NACHT, LRR and PYD domains-containing protein 12; Vespryn; Dynein regulatory complex subunit 5 {ECO:0000303|PubMed:23427265, ECO:0000303|PubMed:25411337}; NACHT, LRR and PYD domains-containing protein 9A; E3 ubiquitin-protein ligase Midline-1; NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 10; NACHT, LRR and PYD domains-containing protein 4E; NACHT, LRR and PYD domains-containing protein 1a; NACHT, LRR and PYD domains-containing protein 4C
MSTRG.10097;22.129.069.195.592;-625.337.351.887.903;15.108.488.088.756;-413.898.034.147.633;3,49E+09;0.000872132094290892;Serum response factor;;;;;;;;;;;;
MSTRG.16079;446.630.758.667.038;-340.060.332.529.698;0.821875514678825;-413.761.362.221.124;3,51E+09;0.000876041929571379;;;;;;;;;;;;;
MSTRG.24988;586.092.823.430.983;-359.125.690.093.878;0.868381183909397;-413.557.659.641.031;3,54E+09;0.000877959493146847;Mitogen-activated protein kinase HOG1; Mitogen-activated protein kinase 9;;;;;;;;;;;
MSTRG.27144;212.201.635.456.744;-272.647.349.202.562;0.660907969646838;-412.534.515.733.338;3,70E+09;0.000906333248918593;Toll-like receptor 9;;;;;;;;;;;;
MSTRG.46993;313.239.869.421.256;598.926.143.516.296;145.319.677.479.333;412.143.870.606.562;3,77E+09;0.000918126633326187;N-acetylmuramoyl-L-alanine amidase;;;;;;;;;;;;
MSTRG.2096;591.954.636.873.433;-2.438.979.260.121;0.591939753422036;-412.031.671.470.134;3,78E+09;0.000918662367581926;Nuclear receptor ROR-alpha A; Nuclear receptor ROR-alpha; Nuclear receptor ROR-alpha B; Thyroid hormone receptor alpha;;;;;;;;;
MSTRG.30155;638.243.881.001.182;-385.895.116.349.084;0.942215042564142;-409.561.616.952.018;4,21E+09;0.000992257681680415;EF-hand calcium-binding domain-containing protein 4B;;;;;;;;;;;;
MSTRG.33123;524.332.557.447.088;-413.031.044.909.399;101.101.093.441.741;-408.532.717.944.745;4,40E+09;0.00102462461521665;Tripartite motif-containing protein 16; E3 ubiquitin-protein ligase TRIM16;;;;;;;;;;;
MSTRG.5983;490.480.996.149.061;-427.503.431.936.988;104.661.472.647.297;-408.463.039.095.243;4,41E+09;0.00102462461521665;NF-kappa-B inhibitor delta;;;;;;;;;;;;
MSTRG.12167;815.981.398.848.676;-405.419.277.765.116;0.998728527051468;-405.935.413.662.439;4,92E+09;0.00109396526434115;Interleukin-18;;;;;;;;;;;;
MSTRG.48733;802.967.715.741.895;-471.365.502.020.878;116.586.735.515.924;-40.430.457.198.666;5,28E+09;0.001150899087474;Tyrosine-protein kinase ABL1; Ras-related protein Rab-14;;;;;;;;;;;
MSTRG.8674;112.873.101.672.039;-104.244.369.398.843;0.25956289110885;-40.161.507.276.141;5,92E+09;0.00124442675164016;Leucyl-cystinyl aminopeptidase; Aminopeptidase N; Alanine/arginine aminopeptidase;;;;;;;;;;
MSTRG.40033;253.561.048.622.103;-333.174.489.425.123;0.831758950306466;-400.566.160.787.765;6,18E+08;0.00128492434941327;High mobility group protein B2; High mobility group-T protein;;;;;;;;;;;
MSTRG.27217;518.890.841.921.179;-428.505.529.509.819;108.117.330.053.281;-396.333.806.336.733;7,39E+09;0.00145656925647962;Rho-related GTP-binding protein RhoA-D {ECO:0000305}; Transforming protein RhoA {ECO:0000305};;;;;;;;;;;
MSTRG.49065;317.621.410.280.189;-559.258.713.803.407;142.438.251.923.804;-392.632.390.702.589;8,63E+09;0.00161486629365969;Volume-regulated anion channel subunit LRRC8A {ECO:0000305};;;;;;;;;;;;
MSTRG.49551;95.155.493.564.227;183.825.130.875.458;0.46847563393618;392.389.950.638.287;8,71E+09;0.00162399500866053;DNA repair protein XRCC4 {ECO:0000305};;;;;;;;;;;;
MSTRG.36848;713.267.537.508.873;-264.294.677.953.494;0.676169498678789;-390.870.452.556.521;9,28E+09;0.00168850048767489;Low affinity immunoglobulin gamma Fc region receptor III;;;;;;;;;;;;
MSTRG.45251;241.682.806.030.462;-272.931.196.627.417;0.702178712523216;-388.691.926.655.913;0.000101524501025968;0.00179487710919126;Son of sevenless homolog 1;;;;;;;;;;;;
MSTRG.42216;427.827.381.470.625;-12.833.421.069.222;0.33441089166383;-383.762.054.081.746;0.000124232256156725;0.00207876218097399;Transcription activator BRG1; Cysteine protease ATG4D {ECO:0000305};;;;;;;;;;;
MSTRG.46252;155.056.447.484.277;-191.344.956.522.101;0.500554866275641;-382.265.700.353.281;0.000132021364115491;0.00217242186068948;Endothelin-1 receptor {ECO:0000305}; P2Y purinoceptor 4; C-X-C chemokine receptor type 4;;;;;;;;;;
MSTRG.37701;20.186.634.379.041;-626.682.749.799.515;164.714.432.325.316;-380.466.205.026.768;0.000141997925785598;0.00229182476004533;High affinity immunoglobulin gamma Fc receptor I;;;;;;;;;;;;
MSTRG.20344;274.560.149.398.366;-541.666.656.805.897;142.402.739.940.124;-380.376.569.322.789;0.000142512984860103;0.00229750547464717;Tumor necrosis factor receptor superfamily member 14;;;;;;;;;;;;
MSTRG.19616;144.499.874.676.609;-27.919.741.104.214;0.734247871075992;-380.249.534.306.438;0.000143245960027576;0.0023053432917523;ATP-dependent RNA helicase A {ECO:0000305}; ATP-dependent RNA helicase A protein {ECO:0000250|UniProtKB:Q08211}; ATP-dependent RNA helicase A {ECO:0000250|UniProtKB:Q08211};;;;;;;;;;
MSTRG.38380;414.646.280.414.582;-250.108.131.523.565;0.658606635905273;-379.753.433.822.884;0.000146142536817081;0.00233908836145809;Mitogen-activated protein kinase kinase 7; Receptor-interacting serine/threonine-protein kinase 3 {ECO:0000305};;;;;;;;;;;
MSTRG.54502;235.704.172.848.575;-62.237.525.612.864;164.976.793.799.905;-377.250.182.764.189;0.000161618782226542;0.00251224767575391;;;;;;;;;;;;;
MSTRG.54621;510.314.536.715.682;186.323.099.343.019;0.49676486872892;3.750.730.195.953;0.000176320346920339;0.00266696395476456;Serine/threonine-protein kinase PAK 1 {ECO:0000305}; Serine/threonine-protein kinase PAK 1 {ECO:0000303|PubMed:8805275};;;;;;;;;;;
MSTRG.15538;184.520.999.806.448;259.287.226.690.892;0.692883439512227;374.214.784.052.891;0.00018245411757182;0.0027265567672976;Solute carrier family 22 member 15-like; Steroid transmembrane transporter SLC22A24 {ECO:0000305}; Organic cation transporter protein; Solute carrier family 22 member 13;;;;;;;;;
MSTRG.12194;120.531.502.253.433;-250.937.360.603.176;0.672658295357135;-373.053.246.106.101;0.000191075521639337;0.00281681761996748;POU domain class 2-associating factor 1 {ECO:0000305}; POU domain class 2-associating factor 1;;;;;;;;;;;
MSTRG.37256;535.637.515.236.861;-369.182.086.689.989;0.992317799008652;-37.204.017.408.416;0.00019890611943394;0.00289487733122503;;;;;;;;;;;;;
MSTRG.45397;291.909.561.305.933;195.773.599.780.379;0.529424445662049;369.785.719.916.206;0.000217427140253229;0.00308954249226474;D-dopachrome decarboxylase;;;;;;;;;;;;
MSTRG.55463;908.506.394.134.015;-273.756.755.720.031;0.741879158257689;-369.004.510.603.791;0.000224214292543374;0.00315798983139968;;;;;;;;;;;;;
MSTRG.22163;429.830.728.460.276;-199.507.795.191.994;0.541704323516922;-368.296.479.335.303;0.000230537008929759;0.00322636926949039;Runt-related transcription factor 3;;;;;;;;;;;;
MSTRG.55885;390.510.067.596.734;-305.375.569.525.153;0.830944866479595;-367.504.008.802.553;0.000237812071281504;0.00329805218196983;;;;;;;;;;;;;
MSTRG.31482;240.325.648.851.631;328.342.216.382.638;0.89396572443467;367.287.254.318.701;0.000239839126248783;0.00331797149202955;CCN family member 4 {ECO:0000305};;;;;;;;;;;;
MSTRG.47737;156.145.427.810.388;-182.973.321.740.278;0.498444529444242;-36.708.863.460.552;0.000241710810082746;0.00332708546979989;Zinc finger protein Aiolos; Zinc finger protein 32;;;;;;;;;;;
MSTRG.48943;440.683.764.965.043;-13.765.540.225.847;0.375243283746331;-366.843.080.798.553;0.000244043718956538;0.00335137462462728;Roquin-2;;;;;;;;;;;;
MSTRG.9026;152.369.744.577.333;-207.086.096.859.274;0.569600171850003;-363.563.964.853.942;0.000277291727596428;0.00365936119616846;Dedicator of cytokinesis protein 8;;;;;;;;;;;;
MSTRG.32788;832.857.278.377.981;-536.963.381.093.151;148.207.011.729.713;-362.306.327.363.524;0.000291134568186167;0.00379104905250148;;;;;;;;;;;;;
MSTRG.6402;339.437.433.223.713;-205.083.771.361.243;0.567370194108718;-361.463.773.548.078;0.000300767884771641;0.00386570469748448;;;;;;;;;;;;;
MSTRG.46130;394.219.324.321.982;-149.473.961.259.272;0.415388923142544;-359.840.989.808.915;0.00032016873272239;0.0039941163482859;Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase pgal-1 {ECO:0000305}; Tripartite motif-containing protein 2; Meiotic nuclear division protein 1 homolog; Transmembrane protein 131-like {ECO:0000312|HGNC:HGNC:29146}; Transmembrane protein 131-like; Tripartite motif-containing 13;;;;;;;
MSTRG.53480;114.106.403.026.762;-206.293.406.741.001;0.574782200536715;-358.907.089.586.926;0.000331858590656433;0.00409357046307533;Apoptosis regulator Bcl-2;;;;;;;;;;;;
MSTRG.28489;108.376.973.911.435;-248.698.600.917.171;0.693132856718999;-358.803.652.873.138;0.000333177618999121;0.00410683458678507;Activating molecule in BECN1-regulated autophagy protein 1 {ECO:0000303|PubMed:17589504};;;;;;;;;;;;
MSTRG.31774;758.695.917.075.359;163.218.939.532.165;0.455250501975811;358.525.556.421.765;0.000336748279642977;0.00414175803794465;Focal adhesion kinase 1 {ECO:0000305};;;;;;;;;;;;
MSTRG.5022;359.268.592.886.768;150.837.479.617.278;0.421500753376321;357.858.149.502.779;0.000345464149221002;0.00421816732925644;Protein CTLA-2-alpha; Cathepsin K; Procathepsin L; Caricain;;;;;;;;;
MSTRG.43871;23.346.918.833.427;-280.260.082.849.221;0.788593846673867;-35.539.217.561.905;0.000379532110402216;0.0045151192667783;Ninjurin-1 {ECO:0000303|PubMed:31091274}; Ninjurin-1 {ECO:0000305};;;;;;;;;;;
MSTRG.41230;114.069.011.205.419;-125.765.186.876.369;0.354558250103994;-354.709.520.479.303;0.000389503808133456;0.0045928195710628;Tumor necrosis factor ligand superfamily member 15; Tumor necrosis factor ligand superfamily member 14;;;;;;;;;;;
MSTRG.1222;126.911.401.436.727;113.207.821.956.298;0.319575130492053;354.244.780.505.887;0.000396431867148274;0.00464525518876803;Transcription factor PU.1;;;;;;;;;;;;
MSTRG.9637;133.456.462.554.763;-604.415.259.359.385;171.821.549.123.967;-351.769.182.876.653;0.000435317585486241;0.00493740467505116;NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305};;;;;;;;;;;;
MSTRG.38703;646.704.945.913.729;23.014.012.053.614;0.656389294380115;350.615.286.548.025;0.000454634033009308;0.00507996250411594;Complement component receptor 1-like protein; Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1; C-reactive protein; Complement receptor type 1;;;;;;;;;
MSTRG.20454;692.500.723.812.275;-363.997.808.778.238;104.584.486.832.202;-348.041.874.854.964;0.000500630646865809;0.0054041272161023;Epidermal growth factor receptor; Tyrosine-protein kinase transforming protein erbB; Epidermal growth factor receptor {ECO:0000305};;;;;;;;;;
MSTRG.3992;341.990.358.558.102;244.934.452.998.643;0.707647637282895;346.124.879.239.477;0.000537675662156779;0.00569442797444483;Arachidonate 5-lipoxygenase-activating protein;;;;;;;;;;;;
MSTRG.33415;171.463.285.404.836;176.991.305.461.968;0.512825300473351;345.129.823.545.368;0.000557896715482214;0.0058643541209453;Non-homologous end-joining factor 1;;;;;;;;;;;;
MSTRG.32834;59.482.459.772.037;-836.972.731.675.658;242.756.818.576.205;-344.778.258.581.815;0.000565208806949973;0.0059117122266338;Protein NLRC3; NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 10; NACHT, LRR and PYD domains-containing protein 3;;;;;;;;;
MSTRG.8000;432.339.733.489.757;-314.748.838.455.673;0.915652441962803;-343.742.695.406.321;0.000587269095965202;0.00606973739017063;Vesicle-associated membrane protein 8 {ECO:0000250|UniProtKB:Q9BV40};;;;;;;;;;;;
MSTRG.16882;339.975.211.088.506;-126.163.866.670.428;0.367983838323073;-342.851.651.434.924;0.000606889611551648;0.00618866045226714;STE20/SPS1-related proline-alanine-rich protein kinase;;;;;;;;;;;;
MSTRG.48736;297.797.536.160.837;-363.116.286.092.129;106.225.938.006.143;-34.183.391.825.745;0.000630045380433211;0.00634534333123994;Tyrosine-protein kinase FRK; Tyrosine-protein kinase transforming protein Abl;;;;;;;;;;;
